G,MD,W,AI,S,P,os,Company,Touchscreen,Cpu_brand,Ram,Gpu_brand
1,1,0,1,1,1.803,2,0,0,2,8,2
0,0,0,0,1,1.255,2,10,0,1,8,1
1,1,0,1,0,2.44,2,2,0,3,8,2
1,1,0,1,0,1.895,0,2,0,3,8,2
1,1,0,1,1,1.873,2,4,0,2,8,2
1,1,0,1,0,2.3,2,10,1,3,8,1
1,1,0,1,0,2.099,2,4,0,3,8,0
1,0,0,1,1,1.191,2,7,1,2,8,1
1,1,1,1,0,6.391,2,2,0,3,16,2
1,0,0,1,1,1.439,2,7,0,2,4,1
1,0,0,1,1,4.348,1,1,0,2,8,1
1,1,0,1,0,1.745,2,4,1,3,8,1
1,1,1,1,0,3.834,2,2,0,3,16,2
1,1,0,0,1,1.0,2,2,0,0,4,0
1,1,0,1,0,3.941,2,10,1,3,8,1
1,1,0,0,1,1.496,2,0,0,1,4,2
1,0,0,1,1,2.023,2,4,0,2,8,1
1,1,0,0,1,0.95,2,7,0,0,8,0
1,1,1,1,0,2.257,2,7,0,3,16,2
1,1,1,1,0,5.326,2,11,0,3,16,2
1,1,0,1,0,3.621,2,10,1,3,8,2
1,1,0,1,0,2.434,2,4,0,3,8,0
0,0,0,0,1,0.946,0,10,0,1,4,1
1,0,0,1,1,1.539,2,7,0,2,4,1
1,0,0,1,1,1.4,2,4,0,2,4,1
1,1,0,1,1,1.204,2,4,0,2,8,0
1,0,0,1,1,1.703,2,4,1,2,8,1
1,1,0,1,0,3.195,2,2,1,3,8,1
1,0,0,1,1,0.995,0,10,0,2,4,1
1,1,0,1,0,2.17,2,7,0,3,8,2
1,1,0,1,0,1.875,2,10,0,3,8,1
1,0,0,1,1,4.175,1,1,0,2,8,1
1,1,1,0,1,3.301,2,2,0,0,16,0
1,1,0,1,0,1.567,0,4,0,3,8,0
1,1,1,1,0,5.326,2,10,1,3,16,1
1,1,0,1,0,1.731,2,16,0,3,8,2
1,1,0,1,0,1.52,2,4,0,3,12,1
1,1,0,1,0,2.342,0,4,0,3,8,0
1,1,0,1,0,1.588,2,0,0,3,8,2
0,0,0,0,1,1.042,2,10,0,1,4,1
1,1,0,1,0,1.809,0,10,0,3,8,2
1,1,0,1,0,1.831,2,10,0,3,6,2
1,1,0,0,1,0.912,0,4,0,1,4,0
1,1,0,1,1,1.767,2,10,0,2,8,2
1,0,0,1,1,1.234,2,10,0,2,6,1
1,1,0,1,0,2.027,2,0,0,3,8,2
1,1,0,1,0,1.404,2,0,1,3,12,1
1,1,0,1,0,2.338,2,10,0,3,8,1
1,1,0,1,1,2.082,2,2,0,2,8,2
1,1,1,1,0,2.513,2,10,0,3,16,2
1,1,0,1,0,1.404,0,10,0,3,8,2
0,0,0,0,1,0.424,0,0,0,4,2,1
1,1,0,1,0,2.53,2,2,0,3,8,2
0,0,0,0,1,1.042,2,7,0,1,8,1
1,1,0,1,0,3.898,2,4,0,3,8,2
1,0,0,1,1,1.575,2,10,0,2,8,1
1,1,0,1,0,2.768,2,10,0,3,8,2
1,1,0,1,0,2.086,0,0,0,3,8,2
1,1,1,1,0,6.148,2,4,0,3,16,2
1,1,0,0,1,1.063,2,10,0,0,6,0
1,1,1,1,0,3.129,2,2,0,3,16,2
0,0,0,0,1,1.085,2,2,0,1,4,1
1,1,1,1,0,4.522,2,2,0,3,16,2
1,1,0,1,1,1.383,2,10,0,2,6,2
1,1,0,1,1,1.17,0,10,0,2,8,2
1,1,0,1,0,2.696,2,2,0,3,8,2
0,0,0,0,1,0.767,0,10,0,4,4,1
1,1,1,1,0,4.209,2,7,1,3,16,1
1,1,0,1,0,2.223,2,16,0,3,8,2
1,1,0,1,1,1.745,2,10,0,2,8,2
0,0,0,0,1,1.0,2,7,0,1,4,1
1,0,0,1,1,2.129,2,10,0,2,8,1
1,1,1,1,0,5.326,2,4,1,3,16,1
1,1,1,1,0,4.473,2,11,0,3,16,2
1,1,0,0,1,1.0,2,0,0,0,8,0
0,0,0,0,1,0.586,2,2,1,4,2,1
1,1,0,1,1,1.799,2,4,0,2,8,0
1,1,1,1,0,5.219,2,7,1,3,16,1
0,0,0,0,1,0.98,0,10,0,4,4,1
1,0,0,1,1,2.089,2,7,0,2,8,1
0,0,0,0,1,1.034,2,0,0,4,4,1
1,1,0,1,0,2.754,2,7,0,3,8,1
1,1,0,1,1,1.255,2,10,0,2,4,2
1,1,0,1,0,2.332,2,2,0,3,8,1
1,1,0,1,0,1.922,2,7,0,3,8,1
1,1,0,0,1,1.404,2,0,0,0,8,0
0,0,0,0,1,0.622,2,10,0,4,4,1
1,0,0,1,1,1.17,2,0,0,2,6,1
1,1,0,1,0,2.238,2,2,0,3,8,2
1,1,0,1,0,2.845,2,7,0,3,8,1
